sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg
192.168.95.10,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.10,192.168.95.2,IPV4-TCP,2025-02-13 06:32:38.766157,2025-02-13 06:32:39.240242,1739399558.766157,1739399559.240242,0.0,0.474085,0.474086,28,30,1806,1938,65,67,64,52,64.5,64.6,30475.477,32702.921,350,378,13,15,12,0,12.5,12.6,0.01751948285985876,0.016334657011360956,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.933,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.001,0.039,0.0,0.0,0.000477,0.017165
192.168.95.11,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.11,192.168.95.2,IPV4-TCP,2025-02-13 06:32:38.767572,2025-02-13 06:32:39.240921,1739399558.767572,1739399559.240921,0.001415,0.474764,0.47335,28,30,1806,1938,65,67,64,52,64.5,64.6,30522.863,32753.77,350,378,13,15,12,0,12.5,12.6,0.017511632707383897,0.016314070800255084,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.933,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.001,0.044,0.0,0.0,0.000362,0.017328
192.168.95.2,192.168.95.5,00:0c:29:e0:b6:b9,00:0c:29:07:f9:1e,192.168.95.2,192.168.95.5,IPV4-TCP,2025-02-13 06:32:38.768496,2025-02-13 06:32:39.219730,1739399558.768496,1739399559.21973,0.002339,0.453573,0.451235,21,32,1232,1764,87,64,52,52,58.667,55.125,21842.284,31274.179,100,60,35,12,0,0,4.762,1.875,0.0225447416305542,0.014555931091308594,64.0,64.0,1.0,0.844,0.0,0.0,0.286,0.188,0.238,0.156,0.238,0.156,0.0,0.0,7240.381,4755.719,0.0,0.0,0.002,0.051,0.0,0.0,0.00038,0.009838
192.168.95.12,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.12,192.168.95.2,IPV4-TCP,2025-02-13 06:32:38.770090,2025-02-13 06:32:39.241597,1739399558.77009,1739399559.241597,0.003933,0.47544,0.471508,28,30,1806,1938,65,67,64,52,64.5,64.6,30642.121,32881.744,350,378,13,15,12,0,12.5,12.6,0.017446588586877892,0.016249821103852372,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.933,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.001,0.042,0.0,0.0,0.000313,0.017226
192.168.95.13,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.13,192.168.95.2,IPV4-TCP,2025-02-13 06:32:38.770949,2025-02-13 06:32:39.242245,1739399558.770949,1739399559.242245,0.004792,0.476088,0.471297,28,30,1806,1938,65,67,64,52,64.5,64.6,30655.824,32896.449,350,378,13,15,12,0,12.5,12.6,0.017442182258323388,0.016243416687537884,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.933,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.0,0.042,0.0,0.0,0.000311,0.017342
192.168.95.14,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.14,192.168.95.2,IPV4-TCP,2025-02-13 06:32:38.771705,2025-02-13 06:32:39.243162,1739399558.771705,1739399559.243162,0.005548,0.477005,0.471458,14,16,910,1000,65,64,65,52,65.0,62.5,15441.46,16968.638,182,168,13,12,13,0,13.0,10.5,0.036183999134944037,0.03137200673421224,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.003,0.042,0.001,0.0,0.001009,0.030492
192.168.95.15,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.15,192.168.95.2,IPV4-TCP,2025-02-13 06:32:38.772854,2025-02-13 06:32:39.243958,1739399558.772854,1739399559.243958,0.006697,0.477801,0.471105,14,18,938,1104,67,64,67,52,67.0,61.333,15928.512,18747.417,210,168,15,12,15,0,15.0,9.333,0.03617138129014235,0.027667704750509822,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.778,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.001,0.042,0.001,0.0,0.000792,0.029407
192.168.95.10,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.10,192.168.95.2,IPV4-TCP,2025-02-13 06:32:39.274656,2025-02-13 06:32:39.751917,1739399559.274656,1739399559.751917,0.508499,0.98576,0.477262,28,34,1806,2146,65,67,64,52,64.5,63.118,30272.691,35971.869,350,378,13,15,12,0,12.5,11.118,0.017660220464070637,0.01445533290053859,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.824,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.001,0.038,0.0,0.0,0.000412,0.017492
192.168.95.11,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.11,192.168.95.2,IPV4-TCP,2025-02-13 06:32:39.275519,2025-02-13 06:32:39.752493,1739399559.275519,1739399559.752493,0.509362,0.986336,0.476975,28,32,1806,2042,65,67,64,52,64.5,63.812,30290.895,34249.174,350,378,13,15,12,0,12.5,11.812,0.017653924447518808,0.015379128917571037,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.003,0.038,0.0,0.0,0.000504,0.017301
192.168.95.12,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.12,192.168.95.2,IPV4-TCP,2025-02-13 06:32:39.276114,2025-02-13 06:32:39.753053,1739399559.276114,1739399559.753053,0.509957,0.986896,0.47694,28,32,1806,2042,65,67,64,52,64.5,63.812,30293.121,34251.691,350,378,13,15,12,0,12.5,11.812,0.017654701515480323,0.01537793682467553,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.0,0.041,0.0,0.0,0.000283,0.017727
