sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:55.444328,2025-02-13 16:38:55.844601,1739435935.444328,1739435935.844601,0.0,0.400273,0.400274,13,10,774,622,65,65,52,52,59.538,62.2,15469.409,12431.489,98,102,13,13,0,0,7.538,10.2,0.03335607051849365,0.022522979312472872,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.615,0.8,0.0,0.0,0.0,0.0,250.692,249.8,0.0,0.0,0.196,0.197,0.0,0.0,0.026166,0.022113,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:55.503892,2025-02-13 16:38:55.552360,1739435935.503892,1739435935.55236,0.059564,0.108032,0.048469,8,10,520,616,65,64,65,52,65.0,61.6,85827.855,101672.998,104,96,13,12,13,0,13.0,9.6,0.0003386906215122768,0.005385345882839627,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.046,0.0,0.0,0.000205,0.005209,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:38:55.506807,2025-02-13 16:38:55.552344,1739435935.506807,1739435935.552344,0.062479,0.108016,0.045538,5,7,325,424,65,64,65,52,65.0,60.571,57095.18,74487.25,65,60,13,12,13,0,13.0,8.571,0.0003165006637573242,0.007589499155680339,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.044,0.0,0.0,0.000164,0.007456,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:56.000693,2025-02-13 16:38:56.448359,1739435936.000693,1739435936.448359,0.556365,1.004031,0.447667,18,15,1083,933,65,65,52,52,60.167,62.2,19353.674,16673.11,147,153,13,13,0,0,8.167,10.2,0.026333289987900677,0.02887557234082903,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.2,0.202,0.0,0.0,0.031019,0.028858,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:56.006113,2025-02-13 16:38:56.505956,1739435936.006113,1739435936.505956,0.561785,1.061628,0.499844,10,13,650,796,65,64,65,52,65.0,61.231,10403.248,12739.978,130,120,13,12,13,0,13.0,9.231,0.05552355448404948,0.04164616266886393,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.769,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.001,0.495,0.0,0.0,0.000308,0.044883,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:38:56.010706,2025-02-13 16:38:56.509631,1739435936.010706,1739435936.509631,0.566378,1.065303,0.498926,10,13,650,796,65,64,65,52,65.0,61.231,10422.388,12763.417,130,120,13,12,13,0,13.0,9.231,0.055405881669786244,0.04156867663065592,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.769,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.496,0.0,0.0,0.000191,0.045049,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:56.506225,2025-02-13 16:38:56.552350,1739435936.506225,1739435936.55235,1.061897,1.108022,0.046126,6,7,390,436,65,64,65,52,65.0,62.286,67640.905,75619.063,78,72,13,12,13,0,13.0,10.286,0.0003475666046142578,0.007687489191691081,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.857,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.044,0.0,0.0,0.000184,0.007504,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:38:56.552344,2025-02-13 16:38:57.013095,1739435936.552344,1739435937.013095,1.108016,1.568767,0.460752,5,7,325,424,65,64,65,52,65.0,60.571,5642.951,7361.881,65,60,13,12,13,0,13.0,8.571,0.00022548437118530273,0.07677499453226726,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000109,0.0001,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:56.600653,2025-02-13 16:38:57.048396,1739435936.600653,1739435937.048396,1.156325,1.604068,0.447744,18,15,1083,933,65,65,52,52,60.167,62.2,19350.335,16670.234,147,153,13,13,0,0,8.167,10.2,0.026337833965525907,0.02900714533669608,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.199,0.2,0.0,0.0,0.031578,0.028746,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:57.009387,2025-02-13 16:38:57.509268,1739435937.009387,1739435937.509268,1.565059,2.06494,0.499882,12,15,780,924,65,64,65,52,65.0,61.6,12482.945,14787.489,156,144,13,12,13,0,13.0,9.6,0.045432632619684395,0.0356910058430263,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.496,0.0,0.0,0.000183,0.038429,0,Normal,0,Normal
