attack,startStamp,endStamp,startTime,endTime,attackerMAC,attackerIP,description
port-scan,1739435956.503799,1739435968.778182,2025-02-13 03:39:16.503799,2025-02-13 03:39:28.778182,02:42:c0:a8:00:2a,192.168.0.42,scan-nmap
ip-scan,1739435977.67917,1739435980.00244,2025-02-13 03:39:37.679170,2025-02-13 03:39:40.002440,02:42:c0:a8:00:2a,192.168.0.42,scan-scapy
mitm,1739435987.069612,1739436023.031339,2025-02-13 03:39:47.069612,2025-02-13 03:40:23.031339,02:42:c0:a8:00:2a,192.168.0.42,mitm-scapy
ddos,1739436041.970883,1739436111.437495,2025-02-13 03:40:41.970883,2025-02-13 03:41:51.437495,02:42:c0:a8:00:2a,192.168.0.42,ddos
replay,1739436128.096282,1739436143.772625,2025-02-13 03:42:08.096282,2025-02-13 03:42:23.772625,02:42:c0:a8:00:2a,192.168.0.42,replay-scapy
command-injection,1739436152.820839,1739436182.919415,2025-02-13 03:42:32.820839,2025-02-13 03:43:02.919415,02:42:c0:a8:00:2a,192.168.0.42,command-injection
command-injection,1739436199.160232,1739436229.263423,2025-02-13 03:43:19.160232,2025-02-13 03:43:49.263423,02:42:c0:a8:00:2a,192.168.0.42,command-injection
replay,1739436237.468825,1739436253.21155,2025-02-13 03:43:57.468825,2025-02-13 03:44:13.211550,02:42:c0:a8:00:2a,192.168.0.42,replay-scapy
ddos,1739436266.529278,1739436334.953,2025-02-13 03:44:26.529278,2025-02-13 03:45:34.953000,02:42:c0:a8:00:2a,192.168.0.42,ddos
mitm,1739436342.797117,1739436378.668859,2025-02-13 03:45:42.797117,2025-02-13 03:46:18.668859,02:42:c0:a8:00:2a,192.168.0.42,mitm-scapy
ip-scan,1739436386.02434,1739436388.341702,2025-02-13 03:46:26.024340,2025-02-13 03:46:28.341702,02:42:c0:a8:00:2a,192.168.0.42,scan-scapy
port-scan,1739436397.647957,1739436409.821297,2025-02-13 03:46:37.647957,2025-02-13 03:46:49.821297,02:42:c0:a8:00:2a,192.168.0.42,scan-nmap
