sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:02:51.400282,2025-02-13 16:02:51.844632,1739433771.400282,1739433771.844632,0.0,0.44435,0.444351,18,15,1083,933,65,65,52,52,60.167,62.2,19498.099,16797.532,147,153,13,13,0,0,8.167,10.2,0.026117521173813763,0.028711932046072825,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.199,0.2,0.0,0.0,0.031035,0.028672
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:02:51.505408,2025-02-13 16:02:52.005215,1739433771.505408,1739433772.005215,0.105126,0.604933,0.499808,11,15,715,924,65,64,65,52,65.0,61.6,11444.397,14789.683,143,144,13,12,13,0,13.0,9.6,0.04994609355926514,0.03570049149649484,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.496,0.0,0.0,0.000157,0.038477
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:02:51.507863,2025-02-13 16:02:52.007779,1739433771.507863,1739433772.007779,0.107581,0.607497,0.499917,7,10,455,604,65,64,65,52,65.0,60.4,7281.211,9665.608,91,84,13,12,13,0,13.0,8.4,0.08329113324483235,0.05552233590020074,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.498,0.0,0.0,0.00013,0.060274
02:42:ce:5e:43:8c,33:33:00:00:00:16,02:42:ce:5e:43:8c,33:33:00:00:00:16,,,IPV6,2025-02-13 16:02:51.648243,2025-02-13 16:02:51.648243,1739433771.648243,1739433771.648243,0.247961,0.247961,1e-06,1,0,110,0,110,,110,,110.0,,880000000.0,0.0,106,0,106,,106,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:02:52.001072,2025-02-13 16:02:52.444327,1739433772.001072,1739433772.444327,0.60079,1.044045,0.443256,18,15,1083,933,65,65,52,52,60.167,62.2,19546.259,16839.02,147,153,13,13,0,0,8.167,10.2,0.026073834475348976,0.028608781950814382,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.197,0.2,0.0,0.0,0.030768,0.028765
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:02:52.005476,2025-02-13 16:02:52.505460,1739433772.005476,1739433772.50546,0.605194,1.105178,0.499985,6,7,390,424,65,64,65,52,65.0,60.571,6240.187,6784.203,78,60,13,12,13,0,13.0,8.571,0.09999017715454102,0.08329649766286214,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.498,0.0,0.0,0.000183,0.077312
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:02:52.008017,2025-02-13 16:02:52.507965,1739433772.008017,1739433772.507965,0.607735,1.107683,0.499949,3,5,195,308,65,64,65,52,65.0,61.6,3120.318,4928.502,39,48,13,12,13,0,13.0,9.6,0.00026297569274902344,0.12498700618743896,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.499,0.0,0.0,0.000178,0.135756
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:02:52.505648,2025-02-13 16:02:52.552325,1739433772.505648,1739433772.552325,1.105366,1.152043,0.046678,7,8,455,500,65,64,65,52,65.0,62.5,77980.874,85693.268,91,84,13,12,13,0,13.0,10.5,0.00032532215118408203,0.006668158939906529,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.045,0.0,0.0,0.000166,0.006502
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:02:52.508225,2025-02-13 16:02:52.552330,1739433772.508225,1739433772.55233,1.107943,1.152048,0.044106,5,6,325,360,65,64,65,52,65.0,60.0,58948.825,65297.16,65,48,13,12,13,0,13.0,8.0,0.0003464818000793457,0.008816003799438477,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.667,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.043,0.0,0.0,0.000161,0.007248
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:02:52.600578,2025-02-13 16:02:53.056337,1739433772.600578,1739433773.056337,1.200296,1.656055,0.45576,18,15,1083,933,65,65,52,52,60.167,62.2,19010.003,16377.039,147,153,13,13,0,0,8.167,10.2,0.026809355791877296,0.029484220913478305,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.205,0.206,0.0,0.0,0.03162,0.029198
