sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-14 03:09:11.000217,2025-02-14 03:09:11.442988,1739473751.000217,1739473751.442988,0.0,0.442771,0.442772,18,15,1083,933,65,65,52,52,60.167,62.2,19567.635,16857.436,147,153,13,13,0,0,8.167,10.2,0.026026529424330768,0.028716581208365306,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.2,0.2,0.0,0.0,0.030757,0.028706
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-14 03:09:11.004422,2025-02-14 03:09:11.047017,1739473751.004422,1739473751.047017,0.004205,0.0468,0.042596,8,10,520,616,65,64,65,52,65.0,61.6,97661.413,115691.212,104,96,13,12,13,0,13.0,9.6,0.00026529175894601006,0.00473279423183865,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.041,0.0,0.0,9.9e-05,0.004646
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-14 03:09:11.006480,2025-02-14 03:09:11.050840,1739473751.00648,1739473751.05084,0.006263,0.050623,0.044361,5,7,325,424,65,64,65,52,65.0,60.571,58610.143,76463.694,65,60,13,12,13,0,13.0,8.571,0.0001569986343383789,0.007393320401509603,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.044,0.0,0.0,8.5e-05,0.007326
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-14 03:09:11.505072,2025-02-14 03:09:12.005048,1739473751.505072,1739473752.005048,0.504855,1.004831,0.499977,9,11,585,680,65,64,65,52,65.0,61.818,9360.432,10880.502,117,108,13,12,13,0,13.0,9.818,0.06245887279510498,0.04994359016418457,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.818,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.001,0.497,0.0,0.0,0.000213,0.054097
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-14 03:09:11.508133,2025-02-14 03:09:11.550923,1739473751.508133,1739473751.550923,0.507916,0.550706,0.042791,5,7,325,424,65,64,65,52,65.0,60.571,60760.193,79268.682,65,60,13,12,13,0,13.0,8.571,0.000359952449798584,0.007131695747375488,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.041,0.0,0.0,0.000193,0.006976
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-14 03:09:11.600363,2025-02-14 03:09:12.042979,1739473751.600363,1739473752.042979,0.600146,1.042762,0.442617,18,15,1083,933,65,65,52,52,60.167,62.2,19574.486,16863.338,147,153,13,13,0,0,8.167,10.2,0.02601441215066349,0.028665849140712192,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.198,0.2,0.0,0.0,0.031104,0.028724
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-14 03:09:12.005082,2025-02-14 03:09:12.050839,1739473752.005082,1739473752.050839,1.004865,1.050622,0.045758,7,9,455,552,65,64,65,52,65.0,61.333,79548.835,96507.598,91,84,13,12,13,0,13.0,9.333,0.00047965844472249347,0.005719631910324097,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.778,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.043,0.0,0.0,0.000197,0.006305
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-14 03:09:12.008538,2025-02-14 03:09:12.054891,1739473752.008538,1739473752.054891,1.008321,1.054674,0.046354,5,7,325,424,65,64,65,52,65.0,60.571,56089.966,73175.833,65,60,13,12,13,0,13.0,8.571,0.0005354881286621094,0.00772551695505778,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.001,0.044,0.0,0.0,0.000272,0.007507
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-14 03:09:12.200439,2025-02-14 03:09:12.646747,1739473752.200439,1739473752.646747,1.200222,1.64653,0.446309,18,15,1083,933,65,65,52,52,60.167,62.2,19412.554,16723.834,147,153,13,13,0,0,8.167,10.2,0.026188948575188133,0.028770923614501953,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.2,0.2,0.0,0.0,0.031135,0.028701
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-14 03:09:12.505792,2025-02-14 03:09:13.005682,1739473752.505792,1739473753.005682,1.505575,2.005465,0.499891,10,13,650,796,65,64,65,52,65.0,61.231,10402.266,12738.775,130,120,13,12,13,0,13.0,9.231,0.05549399058024088,0.04161109526952108,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.769,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.001,0.495,0.0,0.0,0.000251,0.044954
