attackerField,serverField,protocol,startDate,endDate
0,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:55.444328,2025-02-13 16:38:55.844601
1,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:55.503892,2025-02-13 16:38:55.552360
2,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:38:55.506807,2025-02-13 16:38:55.552344
3,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:56.000693,2025-02-13 16:38:56.448359
4,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:56.006113,2025-02-13 16:38:56.505956
5,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:38:56.010706,2025-02-13 16:38:56.509631
6,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:56.506225,2025-02-13 16:38:56.552350
7,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:38:56.552344,2025-02-13 16:38:57.013095
8,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:56.600653,2025-02-13 16:38:57.048396
9,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:57.009387,2025-02-13 16:38:57.509268
10,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:38:57.056321,2025-02-13 16:38:57.556251
11,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:57.200843,2025-02-13 16:38:57.644261
12,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:57.509420,2025-02-13 16:38:58.009094
13,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:57.801108,2025-02-13 16:38:58.244418
14,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:58.009422,2025-02-13 16:38:58.507617
15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:38:58.010945,2025-02-13 16:38:58.509457
16,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:58.400914,2025-02-13 16:38:58.844387
17,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:58.549366,2025-02-13 16:38:59.010160
18,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:38:58.552296,2025-02-13 16:38:59.011945
19,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:59.000429,2025-02-13 16:38:59.452493
20,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:38:59.052491,2025-02-13 16:38:59.552236
21,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:59.056369,2025-02-13 16:38:59.548260
22,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:59.600685,2025-02-13 16:39:00.052220
23,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:00.005679,2025-02-13 16:39:00.505597
24,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:00.008638,2025-02-13 16:39:00.508607
25,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:00.200298,2025-02-13 16:39:00.660257
26,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:00.505743,2025-02-13 16:39:00.548322
27,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:00.508765,2025-02-13 16:39:01.008720
28,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:00.800881,2025-02-13 16:39:01.268233
29,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:01.006502,2025-02-13 16:39:01.506476
30,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:01.008875,2025-02-13 16:39:01.508853
31,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:01.402768,2025-02-13 16:39:01.844374
32,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:01.506638,2025-02-13 16:39:02.006599
33,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:01.509078,2025-02-13 16:39:02.008933
34,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:02.000854,2025-02-13 16:39:02.460255
35,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:02.006770,2025-02-13 16:39:02.506652
36,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:02.009115,2025-02-13 16:39:02.508917
37,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:02.506930,2025-02-13 16:39:03.006867
38,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:02.509143,2025-02-13 16:39:03.009011
39,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:02.600561,2025-02-13 16:39:03.056291
