sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 20:26:58.400312,2025-02-13 20:26:58.846993,1739449618.400312,1739449618.846993,0.0,0.446681,0.446682,18,15,1083,933,65,65,52,52,60.167,62.2,19396.348,16709.873,147,153,13,13,0,0,8.167,10.2,0.02604017538182876,0.028830715588160923,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.198,0.2,0.0,0.0,0.031157,0.028649,0,Normal,0,Normal
02:42:2c:ba:47:0c,33:33:00:00:00:16,02:42:2c:ba:47:0c,33:33:00:00:00:16,,,IPV6,2025-02-13 20:26:58.446846,2025-02-13 20:26:58.446846,1739449618.446846,1739449618.446846,0.046534,0.046534,1e-06,1,0,110,0,110,,110,,110.0,,880000000.0,0.0,106,0,106,,106,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 20:26:58.507949,2025-02-13 20:26:58.558744,1739449618.507949,1739449618.558744,0.107637,0.158432,0.050796,8,10,520,616,65,64,65,52,65.0,61.6,81896.47,97015.819,104,96,13,12,13,0,13.0,9.6,0.0005702631814139229,0.005643871095445421,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.047,0.0,0.0,0.000235,0.005437,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 20:26:58.512397,2025-02-13 20:26:58.558745,1739449618.512397,1739449618.558745,0.112085,0.158433,0.046349,5,7,325,424,65,64,65,52,65.0,60.571,56096.314,73184.114,65,60,13,12,13,0,13.0,8.571,0.0004387497901916504,0.007724642753601074,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.044,0.0,0.0,0.000192,0.007572,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 20:26:59.000539,2025-02-13 20:26:59.446867,1739449619.000539,1739449619.446867,0.600227,1.046555,0.446329,18,15,1083,933,65,65,52,52,60.167,62.2,19411.693,16723.093,147,153,13,13,0,0,8.167,10.2,0.026227291892556584,0.028823784419468472,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.197,0.2,0.0,0.0,0.031118,0.028979,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 20:26:59.009178,2025-02-13 20:26:59.508988,1739449619.009178,1739449619.508988,0.608866,1.108676,0.499811,10,13,650,796,65,64,65,52,65.0,61.231,10403.933,12740.817,130,120,13,12,13,0,13.0,9.231,0.05549377865261502,0.04162975152333578,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.769,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.001,0.492,0.0,0.0,0.000383,0.044967,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 20:26:59.016092,2025-02-13 20:26:59.515564,1739449619.016092,1739449619.515564,0.61578,1.115252,0.499473,10,13,650,796,65,64,65,52,65.0,61.231,10410.975,12749.44,130,120,13,12,13,0,13.0,9.231,0.05545221434699164,0.041599154472351074,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.769,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.001,0.493,0.0,0.0,0.00032,0.044954,0,Normal,0,Normal
02:42:2c:ba:47:0c,33:33:00:00:00:16,02:42:2c:ba:47:0c,33:33:00:00:00:16,,,IPV6,2025-02-13 20:26:59.246787,2025-02-13 20:26:59.246787,1739449619.246787,1739449619.246787,0.846475,0.846475,1e-06,1,0,110,0,110,,110,,110.0,,880000000.0,0.0,106,0,106,,106,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 20:26:59.509252,2025-02-13 20:26:59.554795,1739449619.509252,1739449619.554795,1.10894,1.154483,0.045544,6,7,390,436,65,64,65,52,65.0,62.286,68505.249,76585.355,78,72,13,12,13,0,13.0,10.286,0.0006426334381103516,0.007590492566426595,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.857,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.042,0.0,0.0,0.000295,0.007296,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 20:26:59.558698,2025-02-13 20:27:00.019959,1739449619.558698,1739449620.019959,1.158386,1.619647,0.461262,5,7,325,424,65,64,65,52,65.0,60.571,5636.709,7353.738,65,60,13,12,13,0,13.0,8.571,0.000876009464263916,0.07680583000183105,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.001,0.001,0.0,0.0,0.000379,0.000414,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 20:26:59.601363,2025-02-13 20:27:00.046727,1739449619.601363,1739449620.046727,1.201051,1.646415,0.445365,18,15,1083,933,65,65,52,52,60.167,62.2,19453.707,16759.287,147,153,13,13,0,0,8.167,10.2,0.02619788225959329,0.028914076941353933,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.2,0.199,0.0,0.0,0.031078,0.02883,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 20:27:00.010629,2025-02-13 20:27:00.510551,1739449620.010629,1739449620.510551,1.610317,2.110239,0.499923,12,16,780,988,65,64,65,52,65.0,61.75,12481.921,15810.434,156,156,13,12,13,0,13.0,9.75,0.04538872025229714,0.03332813580830892,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.812,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.493,0.0,0.0,0.000282,0.035969,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 20:27:00.062685,2025-02-13 20:27:00.558909,1739449620.062685,1739449620.558909,1.662373,2.158597,0.496225,5,8,325,476,65,64,65,52,65.0,59.5,5239.559,7673.939,65,60,13,12,13,0,13.0,7.5,0.0005197525024414062,0.07088913236345563,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.625,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.044,0.0,0.0,0.000288,0.007481,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 20:27:00.202181,2025-02-13 20:27:00.642793,1739449620.202181,1739449620.642793,1.801869,2.242481,0.440613,18,15,1083,933,65,65,52,52,60.167,62.2,19663.521,16940.042,147,153,13,13,0,0,8.167,10.2,0.02591834348790786,0.028502634593418667,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.198,0.199,0.0,0.0,0.030863,0.028571,0,Normal,0,Normal
