sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg
192.168.95.2,192.168.95.5,00:0c:29:e0:b6:b9,00:0c:29:07:f9:1e,192.168.95.2,192.168.95.5,IPV4-TCP,2025-02-12 18:47:21.062569,2025-02-12 18:47:21.515043,1739357241.062569,1739357241.515043,0.0,0.452474,0.452475,24,36,1431,1992,87,64,52,52,59.625,55.333,25300.839,35219.616,135,72,35,12,0,0,5.625,2.0,0.019665127215178116,0.01292783192225865,64.0,64.0,1.0,0.833,0.0,0.0,0.25,0.167,0.25,0.167,0.25,0.167,0.0,0.0,7579.75,5057.5,0.0,0.0,0.0,0.051,0.0,0.0,7.1e-05,0.008671
192.168.95.10,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.10,192.168.95.2,IPV4-TCP,2025-02-12 18:47:21.066223,2025-02-12 18:47:21.547745,1739357241.066223,1739357241.547745,0.003654,0.485176,0.481523,16,16,640,960,40,60,40,60,40.0,60.0,10632.927,15949.391,0,0,0,0,0,0,0.0,0.0,0.03208419481913249,0.03208394050598144,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.000261,
192.168.95.11,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.11,192.168.95.2,IPV4-TCP,2025-02-12 18:47:21.066561,2025-02-12 18:47:21.548020,1739357241.066561,1739357241.54802,0.003992,0.485451,0.48146,16,16,640,960,40,60,40,60,40.0,60.0,10634.323,15951.484,0,0,0,0,0,0,0.0,0.0,0.03208452860514323,0.03208552996317546,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.000199,
192.168.95.12,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.12,192.168.95.2,IPV4-TCP,2025-02-12 18:47:21.066812,2025-02-12 18:47:21.548234,1739357241.066812,1739357241.548234,0.004243,0.485665,0.481423,16,16,640,960,40,60,40,60,40.0,60.0,10635.139,15952.709,0,0,0,0,0,0,0.0,0.0,0.03208193778991699,0.03208400408426921,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.00019,
192.168.95.13,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.13,192.168.95.2,IPV4-TCP,2025-02-12 18:47:21.067102,2025-02-12 18:47:21.548443,1739357241.067102,1739357241.548443,0.004533,0.485874,0.481342,16,16,640,960,40,60,40,60,40.0,60.0,10636.925,15955.387,0,0,0,0,0,0,0.0,0.0,0.03207874298095703,0.03207874298095703,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.000174,
192.168.95.14,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.14,192.168.95.2,IPV4-TCP,2025-02-12 18:47:21.067345,2025-02-12 18:47:21.548600,1739357241.067345,1739357241.5486,0.004776,0.486031,0.481256,16,16,640,960,40,60,40,60,40.0,60.0,10638.827,15958.241,0,0,0,0,0,0,0.0,0.0,0.03207306861877442,0.03207573890686035,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.000174,
192.168.95.15,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.15,192.168.95.2,IPV4-TCP,2025-02-12 18:47:21.067585,2025-02-12 18:47:21.548748,1739357241.067585,1739357241.548748,0.005016,0.486179,0.481164,16,16,640,960,40,60,40,60,40.0,60.0,10640.862,15961.293,0,0,0,0,0,0,0.0,0.0,0.032066996892293295,0.032070064544677736,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.000153,
192.168.95.10,192.168.95.100,00:0c:29:4b:33:f1,00:0c:29:54:64:67,192.168.95.10,192.168.95.100,IPV4-TCP,2025-02-12 18:47:21.339616,2025-02-12 18:47:21.340568,1739357241.339616,1739357241.340568,0.277047,0.277999,0.000953,1,2,624,372,624,320,624,52,624.0,186.0,5238165.567,3122752.55,572,268,572,268,572,0,572.0,134.0,,0.0009520053863525391,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,310.0,313.5,0.0,0.0,0.001,0.0,0.001,0.0,0.00087,8.2e-05
192.168.95.10,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.10,192.168.95.2,IPV4-TCP,2025-02-12 18:47:21.579465,2025-02-12 18:47:22.062099,1739357241.579465,1739357242.062099,0.516896,0.99953,0.482635,16,16,640,960,40,60,40,60,40.0,60.0,10608.429,15912.644,0,0,0,0,0,0,0.0,0.0,0.03215807278951009,0.03215913772583008,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.000258,
192.168.95.11,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.11,192.168.95.2,IPV4-TCP,2025-02-12 18:47:21.579859,2025-02-12 18:47:22.062418,1739357241.579859,1739357242.062418,0.51729,0.999849,0.48256,16,16,640,960,40,60,40,60,40.0,60.0,10610.08,15915.12,0,0,0,0,0,0,0.0,0.0,0.03215433756510417,0.03215773900349935,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.000202,
