time, current_loop, loop_latency, logic_execution_time, conveyor_belt_engine_status(8), conveyor_belt_engine_mode(9), bottle_level_value(10), bottle_level_max(11), bottle_distance_to_filler_value(12), 
2022-09-16 11:14:37.618725, 1663319677600, 1, 17, 0.0, 3.0, 0.0, 1.8, 0.0, 
2022-09-16 11:14:37.818418, 1663319677800, 1, 13, 0.0, 3.0, 0.013333333333333334, 1.8, 0.0, 
2022-09-16 11:14:38.010155, 1663319678000, 2, 7, 0.0, 3.0, 0.04, 1.8, 0.0, 
2022-09-16 11:14:38.214680, 1663319678200, 3, 11, 0.0, 3.0, 0.06666666666666667, 1.8, 0.0, 
2022-09-16 11:14:38.417953, 1663319678400, 1, 14, 0.0, 3.0, 0.08, 1.8, 0.0, 
2022-09-16 11:14:38.624915, 1663319678600, 0, 24, 0.0, 3.0, 0.10666666666666665, 1.8, 0.0, 
2022-09-16 11:14:38.806614, 1663319678800, 3, 2, 0.0, 3.0, 0.1333333333333333, 1.8, 0.0, 
2022-09-16 11:14:39.017684, 1663319679000, 5, 11, 0.0, 3.0, 0.1733333333333333, 1.8, 0.0, 
2022-09-16 11:14:39.209768, 1663319679200, 0, 7, 0.0, 3.0, 0.18666666666666665, 1.8, 0.0, 
2022-09-16 11:14:39.410650, 1663319679400, 0, 9, 0.0, 3.0, 0.22666666666666668, 1.8, 0.0, 
2022-09-16 11:14:39.604430, 1663319679600, 1, 2, 0.0, 3.0, 0.24000000000000002, 1.8, 0.0, 
2022-09-16 11:14:39.806511, 1663319679800, 1, 5, 0.0, 3.0, 0.26666666666666666, 1.8, 0.0, 
2022-09-16 11:14:40.004338, 1663319680000, 0, 2, 0.0, 3.0, 0.2933333333333334, 1.8, 0.0, 
2022-09-16 11:14:40.214059, 1663319680200, 1, 8, 0.0, 3.0, 0.3333333333333334, 1.8, 0.0, 
2022-09-16 11:14:40.407518, 1663319680400, 0, 6, 0.0, 3.0, 0.34666666666666673, 1.8, 0.0, 
2022-09-16 11:14:40.604776, 1663319680600, 1, 1, 0.0, 3.0, 0.37333333333333346, 1.8, 0.0, 
2022-09-16 11:14:40.816040, 1663319680800, 1, 10, 0.0, 3.0, 0.4133333333333335, 1.8, 0.0, 
